year,state,population_million,education_million,welfare_million
1985,Alabama,3.967,2952.7,989.7
1986,Alabama,3.981,3238.4,953.3
1987,Alabama,3.996,3220.7,946.2
1988,Alabama,4.011,3555.9,958.8
1989,Alabama,4.026,3881.4,1085.8
1990,Alabama,4.041,4171.3,1404.9
1991,Alabama,4.08,4396.2,1809.2
1992,Alabama,4.119,4304.0,950.3
1993,Alabama,4.158,4478.6,1079.2
1994,Alabama,4.199,4895.3,1064.4
1995,Alabama,4.239,5311.2,1166.7
1996,Alabama,4.28,5850.6,1089.1
1997,Alabama,4.321,6317.4,1142.8
1998,Alabama,4.363,6691.6,1398.6
1999,Alabama,4.405,7231.2,1478.2
2000,Alabama,4.452,7830.0,1485.2
2001,Alabama,4.464,8092.3,1800.0
2002,Alabama,4.472,8388.5,1912.3
2003,Alabama,4.491,8847.5,2352.9
2004,Alabama,4.512,9516.7,2052.3
2005,Alabama,4.545,9880.0,1273.0
2006,Alabama,4.598,10915.7,1280.6
2007,Alabama,4.638,12128.2,1376.7
2008,Alabama,4.677,13198.7,1378.4
2009,Alabama,4.709,13501.5,1733.7
2010,Alabama,4.786,13318.7,2310.9
2011,Alabama,4.8,13435.4,2296.7
2012,Alabama,4.817,13836.7,3497.2
2013,Alabama,4.832,14569.4,3133.8
2014,Alabama,4.844,14452.3,3174.7
2015,Alabama,4.855,14797.9,2928.1
2016,Alabama,4.867,13697.1,2865.7
2017,Alabama,4.878,14162.6,2844.8
2018,Alabama,4.892,14795.5,2790.2
2019,Alabama,4.908,15027.2,1940.6
2020,Alabama,4.922,15225.4,1867.4
2021,Alabama,4.935,15470.1,1863.8
2022,Alabama,4.949,15843.7,1885.6
2023,Alabama,4.962,16376.4,1936.7
2024,Alabama,4.976,17071.8,2018.1
2025,Alabama,4.99,17916.6,2127.5
2026,Alabama,5.004,18886.1,2260.3
1970,Alaska,0.303,132.7,14.6
1971,Alaska,0.311,201.3,25.4
1972,Alaska,0.32,245.4,31.1
1973,Alaska,0.329,286.3,32.6
1974,Alaska,0.339,278.8,36.9
1975,Alaska,0.349,301.0,37.5
1976,Alaska,0.359,371.9,75.3
1977,Alaska,0.369,450.8,158.9
1978,Alaska,0.38,461.1,183.4
1979,Alaska,0.391,577.3,227.2
1980,Alaska,0.402,733.7,231.5
1981,Alaska,0.415,771.0,270.7
1982,Alaska,0.428,895.1,349.9
1983,Alaska,0.442,1001.4,412.4
1984,Alaska,0.456,1173.1,430.4
1985,Alaska,0.47,1251.4,428.0
1986,Alaska,0.485,1233.9,499.7
1987,Alaska,0.501,1255.2,564.4
1988,Alaska,0.517,1159.3,532.1
1989,Alaska,0.533,1216.5,454.0
1990,Alaska,0.55,1265.5,459.3
1991,Alaska,0.557,1322.8,544.4
1992,Alaska,0.565,1405.8,577.9
1993,Alaska,0.572,1486.6,625.5
1994,Alaska,0.58,1491.6,639.3
1995,Alaska,0.587,1524.1,703.9
1996,Alaska,0.595,1572.3,719.8
1997,Alaska,0.603,1615.9,728.8
1998,Alaska,0.611,1555.8,698.1
1999,Alaska,0.619,1765.8,685.6
2000,Alaska,0.627,1785.3,657.4
2001,Alaska,0.633,1983.1,646.7
2002,Alaska,0.643,2130.2,678.3
2003,Alaska,0.651,2277.9,763.7
2004,Alaska,0.662,2324.5,951.4
2005,Alaska,0.669,2386.3,755.3
2006,Alaska,0.677,2483.8,758.6
2007,Alaska,0.682,2636.4,795.0
2008,Alaska,0.688,3043.8,849.1
2009,Alaska,0.698,3276.9,924.2
2010,Alaska,0.714,3307.5,1153.2
2011,Alaska,0.722,3410.3,1181.8
2012,Alaska,0.731,3332.4,1134.5
2013,Alaska,0.738,3668.7,1142.6
2014,Alaska,0.737,3625.0,1048.0
2015,Alaska,0.738,3714.3,972.2
2016,Alaska,0.743,3588.6,980.5
2017,Alaska,0.741,3317.2,923.2
2018,Alaska,0.737,3251.0,963.4
2019,Alaska,0.734,3267.7,843.7
2020,Alaska,0.731,3296.1,795.5
2021,Alaska,0.729,3314.6,762.9
2022,Alaska,0.726,3336.5,741.4
2023,Alaska,0.724,3370.9,734.8
2024,Alaska,0.721,3424.6,745.3
2025,Alaska,0.719,3502.8,773.1
2026,Alaska,0.717,3608.5,816.7
1970,Arizona,1.775,551.0,54.6
1971,Arizona,1.853,607.0,76.1
1972,Arizona,1.933,738.1,88.9
1973,Arizona,2.017,794.4,81.4
1974,Arizona,2.105,857.8,88.5
1975,Arizona,2.197,994.2,148.3
1976,Arizona,2.292,1190.0,256.9
1977,Arizona,2.392,1340.9,272.3
1978,Arizona,2.496,1384.5,242.1
1979,Arizona,2.605,1630.8,252.4
1980,Arizona,2.718,1850.8,321.0
1981,Arizona,2.801,2010.4,421.3
1982,Arizona,2.886,2185.1,460.8
1983,Arizona,2.973,2362.8,659.6
1984,Arizona,3.063,2483.2,718.1
1985,Arizona,3.156,2814.0,806.8
1986,Arizona,3.252,3320.4,864.1
1987,Arizona,3.351,3672.6,1093.3
1988,Arizona,3.453,3993.0,1238.8
1989,Arizona,3.557,4166.6,1422.4
1990,Arizona,3.665,4535.0,1752.5
1991,Arizona,3.791,4680.4,1775.9
1992,Arizona,3.92,4901.8,1065.9
1993,Arizona,4.054,5228.8,1238.3
1994,Arizona,4.193,5356.4,1243.0
1995,Arizona,4.336,5786.6,1424.0
1996,Arizona,4.485,6235.1,1467.8
1997,Arizona,4.638,6284.0,1359.4
1998,Arizona,4.797,6625.7,1298.6
1999,Arizona,4.961,7531.8,1102.0
2000,Arizona,5.167,7987.1,1568.5
2001,Arizona,5.304,8531.7,1830.6
2002,Arizona,5.452,8934.0,1465.6
2003,Arizona,5.591,9530.3,1811.9
2004,Arizona,5.759,10214.5,2027.3
2005,Arizona,5.975,11025.8,1997.4
2006,Arizona,6.192,11957.9,2013.9
2007,Arizona,6.362,13158.9,2399.4
2008,Arizona,6.499,14267.2,2671.7
2009,Arizona,6.596,14240.9,3097.2
2010,Arizona,6.407,13645.9,4201.6
2011,Arizona,6.473,13554.5,3832.1
2012,Arizona,6.556,13681.5,3147.4
2013,Arizona,6.635,14545.7,2732.9
2014,Arizona,6.733,15246.8,2853.5
2015,Arizona,6.833,14061.4,3697.2
2016,Arizona,6.945,14711.4,3779.1
2017,Arizona,7.048,15290.2,4087.0
2018,Arizona,7.164,15969.3,4203.2
2019,Arizona,7.292,14865.1,4255.7
2020,Arizona,7.421,14624.4,4213.4
2021,Arizona,7.553,14530.8,4212.9
2022,Arizona,7.687,14703.9,4282.5
2023,Arizona,7.824,15189.6,4433.9
2024,Arizona,7.963,15987.2,4666.4
2025,Arizona,8.105,17062.8,4971.0
2026,Arizona,8.249,18359.1,5329.3
1970,Arkansas,1.923,341.7,52.9
1971,Arkansas,1.957,362.3,71.4
1972,Arkansas,1.991,409.4,97.3
1973,Arkansas,2.026,427.5,83.8
1974,Arkansas,2.061,492.9,79.9
1975,Arkansas,2.097,611.6,125.7
1976,Arkansas,2.134,726.3,184.3
1977,Arkansas,2.171,749.1,357.9
1978,Arkansas,2.209,824.3,368.2
1979,Arkansas,2.247,934.1,416.7
1980,Arkansas,2.286,1090.5,456.4
1981,Arkansas,2.293,1198.9,528.7
1982,Arkansas,2.299,1251.9,548.0
1983,Arkansas,2.306,1272.3,595.7
1984,Arkansas,2.312,1398.6,619.0
1985,Arkansas,2.318,1714.1,649.2
1986,Arkansas,2.325,1887.7,691.0
1987,Arkansas,2.331,1903.8,745.5
1988,Arkansas,2.338,1970.9,747.7
1989,Arkansas,2.344,2053.7,817.3
1990,Arkansas,2.351,2183.1,993.3
1991,Arkansas,2.381,2337.8,1197.0
1992,Arkansas,2.412,2646.0,639.3
1993,Arkansas,2.443,2809.2,705.0
1994,Arkansas,2.475,2778.2,658.3
1995,Arkansas,2.507,2955.1,772.2
1996,Arkansas,2.539,3226.2,767.6
1997,Arkansas,2.572,3492.4,781.1
1998,Arkansas,2.606,3792.3,728.8
1999,Arkansas,2.639,4034.2,767.6
2000,Arkansas,2.678,4241.5,759.8
2001,Arkansas,2.691,4601.7,1050.5
2002,Arkansas,2.705,4839.3,1072.6
2003,Arkansas,2.722,5167.9,1275.6
2004,Arkansas,2.746,5521.8,1102.2
2005,Arkansas,2.776,5920.8,928.9
2006,Arkansas,2.815,6426.1,968.0
2007,Arkansas,2.842,6843.5,1056.7
2008,Arkansas,2.868,7079.6,1135.0
2009,Arkansas,2.889,7452.0,1270.7
2010,Arkansas,2.922,8004.7,1920.1
2011,Arkansas,2.941,8521.7,1734.2
2012,Arkansas,2.953,8295.9,1494.0
2013,Arkansas,2.96,8204.1,1357.0
2014,Arkansas,2.969,8186.4,1398.1
2015,Arkansas,2.98,8237.8,1160.7
2016,Arkansas,2.992,8456.3,1081.9
2017,Arkansas,3.004,8413.5,999.6
2018,Arkansas,3.012,8784.8,983.0
2019,Arkansas,3.021,8792.1,998.2
2020,Arkansas,3.031,8796.3,1028.3
2021,Arkansas,3.04,8844.2,1058.9
2022,Arkansas,3.05,8991.5,1094.5
2023,Arkansas,3.059,9260.2,1136.4
2024,Arkansas,3.069,9653.6,1184.6
2025,Arkansas,3.079,10162.1,1238.6
2026,Arkansas,3.088,10766.8,1297.3
1970,California,19.971,5711.3,3186.8
1971,California,20.313,6252.2,3935.9
1972,California,20.661,7073.6,4179.4
1973,California,21.015,7284.4,4067.0
1974,California,21.375,8367.0,4000.4
1975,California,21.741,9670.8,4355.7
1976,California,22.113,11442.0,5786.5
1977,California,22.492,12355.3,7960.2
1978,California,22.878,13909.4,8335.2
1979,California,23.269,13194.8,8330.7
1980,California,23.668,15273.5,9307.0
1981,California,24.216,17188.7,11676.3
1982,California,24.777,18155.7,12850.1
1983,California,25.351,18505.1,14010.6
1984,California,25.939,19762.9,13413.9
1985,California,26.54,22619.3,14899.8
1986,California,27.155,24859.4,15931.1
1987,California,27.784,27281.8,16766.7
1988,California,28.428,29032.8,18420.2
1989,California,29.086,32134.1,19829.0
1990,California,29.76,35932.7,22097.0
1991,California,30.148,39168.2,26542.5
1992,California,30.54,39892.4,24419.6
1993,California,30.938,40065.9,25966.5
1994,California,31.341,39504.8,25592.3
1995,California,31.749,41881.6,26851.2
1996,California,32.163,44511.1,26168.6
1997,California,32.582,47470.5,24535.9
1998,California,33.006,52907.4,22776.9
1999,California,33.436,57417.5,23952.4
2000,California,33.995,64377.2,22282.4
2001,California,34.486,71430.7,25955.3
2002,California,34.876,77853.9,28654.6
2003,California,35.251,82104.9,34690.2
2004,California,35.558,85595.4,32388.5
2005,California,35.795,89892.2,33217.8
2006,California,35.979,93910.6,34884.3
2007,California,36.226,99844.6,37238.1
2008,California,36.58,105246.1,40931.5
2009,California,36.962,105307.1,45557.8
2010,California,37.32,104666.4,48745.3
2011,California,37.636,104292.3,55614.0
2012,California,37.945,107096.3,49587.9
2013,California,38.254,105139.0,45456.4
2014,California,38.587,109081.7,45041.9
2015,California,38.904,116590.5,42454.7
2016,California,39.149,126135.4,41594.3
2017,California,39.338,132811.0,43079.8
2018,California,39.438,142709.5,44813.2
2019,California,39.438,150867.5,44213.6
2020,California,39.368,155888.3,43975.5
2021,California,39.299,160951.4,44001.8
2022,California,39.229,166687.7,44591.6
2023,California,39.16,173279.3,45866.1
2024,California,39.091,180724.5,47843.0
2025,California,39.022,188932.2,50466.8
2026,California,38.954,197766.2,53629.3
1970,Colorado,2.21,652.8,138.3
1971,Colorado,2.27,768.0,169.4
1972,Colorado,2.331,876.3,224.5
1973,Colorado,2.395,933.0,210.9
1974,Colorado,2.46,1094.5,224.0
1975,Colorado,2.527,1307.0,253.2
1976,Colorado,2.596,1426.6,336.4
1977,Colorado,2.666,1578.0,468.7
1978,Colorado,2.739,1613.3,496.2
1979,Colorado,2.813,1806.6,526.9
1980,Colorado,2.89,1948.6,553.2
1981,Colorado,2.928,2187.3,734.4
1982,Colorado,2.967,2406.1,890.2
1983,Colorado,3.006,2618.4,1015.9
1984,Colorado,3.045,2715.5,1065.9
1985,Colorado,3.086,2919.7,1111.2
1986,Colorado,3.126,3141.2,1223.1
1987,Colorado,3.167,3461.1,1487.1
1988,Colorado,3.209,3577.2,1418.9
1989,Colorado,3.252,3628.0,1479.0
1990,Colorado,3.294,4081.2,1625.7
1991,Colorado,3.383,4394.3,1825.2
1992,Colorado,3.475,4727.7,1076.6
1993,Colorado,3.569,5025.7,1145.8
1994,Colorado,3.665,5109.6,1226.3
1995,Colorado,3.764,5774.9,1353.0
1996,Colorado,3.866,6172.4,1490.6
1997,Colorado,3.971,6582.9,1602.4
1998,Colorado,4.078,6957.7,1504.5
1999,Colorado,4.188,7373.6,1731.9
2000,Colorado,4.328,8035.1,1638.3
2001,Colorado,4.433,8593.8,2082.2
2002,Colorado,4.504,9173.5,2191.1
2003,Colorado,4.549,9597.2,2830.6
2004,Colorado,4.6,9913.7,2184.5
2005,Colorado,4.661,10312.1,2064.1
2006,Colorado,4.753,11135.9,2073.8
2007,Colorado,4.842,11757.3,2244.8
2008,Colorado,4.935,12892.1,2510.4
2009,Colorado,5.025,13010.8,2964.3
2010,Colorado,5.048,13457.4,4304.2
2011,Colorado,5.122,13461.7,4308.6
2012,Colorado,5.194,13482.3,3827.6
2013,Colorado,5.271,13748.1,3262.3
2014,Colorado,5.353,14832.2,3115.7
2015,Colorado,5.454,15622.4,2999.1
2016,Colorado,5.544,16620.5,3040.9
2017,Colorado,5.617,17726.2,3126.6
2018,Colorado,5.697,19009.8,3105.3
2019,Colorado,5.758,18634.8,2957.3
2020,Colorado,5.808,18432.1,2894.0
2021,Colorado,5.857,18368.6,2858.6
2022,Colorado,5.907,18580.2,2873.1
2023,Colorado,5.958,19121.5,2947.5
2024,Colorado,6.009,19997.7,3082.9
2025,Colorado,6.06,21179.2,3274.1
2026,Colorado,6.112,22611.2,3510.9
1970,Connecticut,3.032,779.9,171.5
1971,Connecticut,3.04,903.9,312.4
1972,Connecticut,3.047,1021.1,379.9
1973,Connecticut,3.055,1047.7,265.0
1974,Connecticut,3.062,1101.0,250.7
1975,Connecticut,3.07,1186.5,379.0
1976,Connecticut,3.077,1249.0,692.8
1977,Connecticut,3.085,1381.6,906.6
1978,Connecticut,3.092,1476.5,819.6
1979,Connecticut,3.1,1585.1,828.1
1980,Connecticut,3.108,1749.3,935.6
1981,Connecticut,3.125,1883.9,1075.7
1982,Connecticut,3.143,1996.7,1202.9
1983,Connecticut,3.16,2147.0,1315.3
1984,Connecticut,3.178,2210.1,1335.4
1985,Connecticut,3.196,2403.2,1392.6
1986,Connecticut,3.214,2438.6,1516.6
1987,Connecticut,3.232,2924.2,1627.7
1988,Connecticut,3.25,3356.3,1769.5
1989,Connecticut,3.269,3877.5,2090.0
1990,Connecticut,3.287,4163.2,2497.7
1991,Connecticut,3.299,4431.0,3084.5
1992,Connecticut,3.31,4917.5,2197.0
1993,Connecticut,3.322,4829.4,2329.3
1994,Connecticut,3.334,4994.6,2361.9
1995,Connecticut,3.346,5154.3,2348.6
1996,Connecticut,3.358,5432.0,1990.0
1997,Connecticut,3.37,5512.4,1877.5
1998,Connecticut,3.382,5564.0,1771.7
1999,Connecticut,3.394,6320.7,1780.2
2000,Connecticut,3.412,6832.9,1769.5
2001,Connecticut,3.428,7607.4,1949.2
2002,Connecticut,3.448,7987.9,2106.9
2003,Connecticut,3.468,8772.7,2565.9
2004,Connecticut,3.475,8879.7,2571.5
2005,Connecticut,3.477,9289.1,2400.7
2006,Connecticut,3.485,10083.5,2456.4
2007,Connecticut,3.489,10827.6,2609.9
2008,Connecticut,3.503,11290.7,2749.4
2009,Connecticut,3.518,11857.0,3402.6
2010,Connecticut,3.579,11725.5,4733.4
2011,Connecticut,3.589,11821.3,4607.5
2012,Connecticut,3.595,11983.7,3855.0
2013,Connecticut,3.596,12133.5,3533.8
2014,Connecticut,3.596,12725.5,3440.7
2015,Connecticut,3.589,13247.9,2829.3
2016,Connecticut,3.58,13812.8,2935.8
2017,Connecticut,3.575,13647.3,2801.9
2018,Connecticut,3.575,13758.5,2663.1
2019,Connecticut,3.566,15247.4,2746.9
2020,Connecticut,3.557,16498.0,2767.0
2021,Connecticut,3.548,17622.6,2798.7
2022,Connecticut,3.539,18631.0,2852.8
2023,Connecticut,3.53,19513.0,2935.4
2024,Connecticut,3.521,20265.7,3047.9
2025,Connecticut,3.512,20899.8,3189.0
2026,Connecticut,3.503,21440.0,3354.2
1970,Delaware,0.548,195.0,18.4
1971,Delaware,0.553,245.8,28.4
1972,Delaware,0.557,259.6,30.0
1973,Delaware,0.562,290.3,28.9
1974,Delaware,0.566,292.0,34.8
1975,Delaware,0.571,318.1,58.0
1976,Delaware,0.575,329.6,82.0
1977,Delaware,0.58,348.0,140.2
1978,Delaware,0.585,360.5,131.1
1979,Delaware,0.59,380.8,131.9
1980,Delaware,0.594,438.7,159.0
1981,Delaware,0.601,451.7,203.0
1982,Delaware,0.608,474.1,186.6
1983,Delaware,0.615,523.8,140.3
1984,Delaware,0.622,587.5,182.1
1985,Delaware,0.629,640.8,178.1
1986,Delaware,0.636,706.4,215.3
1987,Delaware,0.644,745.9,218.9
1988,Delaware,0.651,809.7,219.1
1989,Delaware,0.659,884.2,293.8
1990,Delaware,0.666,961.4,334.7
1991,Delaware,0.677,1020.3,390.5
1992,Delaware,0.688,1099.2,298.4
1993,Delaware,0.699,1168.8,316.0
1994,Delaware,0.711,1226.7,324.2
1995,Delaware,0.723,1303.9,376.8
1996,Delaware,0.734,1374.6,403.1
1997,Delaware,0.746,1501.6,413.3
1998,Delaware,0.759,1519.7,369.2
1999,Delaware,0.771,1627.1,346.5
2000,Delaware,0.786,1735.7,343.5
2001,Delaware,0.795,1792.7,437.2
2002,Delaware,0.804,1958.8,470.3
2003,Delaware,0.815,2072.6,535.5
2004,Delaware,0.827,2215.3,496.8
2005,Delaware,0.84,2456.2,513.2
2006,Delaware,0.853,2675.7,557.1
2007,Delaware,0.865,2754.1,599.1
2008,Delaware,0.876,2916.6,609.3
2009,Delaware,0.885,2986.9,690.0
2010,Delaware,0.9,3031.0,892.9
2011,Delaware,0.908,3169.7,831.3
2012,Delaware,0.916,3379.4,729.8
2013,Delaware,0.924,3530.0,697.9
2014,Delaware,0.933,3587.0,683.8
2015,Delaware,0.942,3659.6,631.0
2016,Delaware,0.95,3729.0,663.0
2017,Delaware,0.958,4040.3,633.4
2018,Delaware,0.967,3946.5,605.3
2019,Delaware,0.977,4195.5,594.9
2020,Delaware,0.987,4368.2,589.2
2021,Delaware,0.997,4533.5,587.3
2022,Delaware,1.007,4705.9,592.8
2023,Delaware,1.018,4889.3,607.5
2024,Delaware,1.028,5084.3,631.7
2025,Delaware,1.039,5290.2,664.8
2026,Delaware,1.05,5506.1,705.5
1970,District of Columbia,0.757,197.7,106.8
1971,District of Columbia,0.744,226.0,115.9
1972,District of Columbia,0.731,257.1,243.0
1973,District of Columbia,0.719,252.2,224.3
1974,District of Columbia,0.707,269.3,233.1
1975,District of Columbia,0.695,332.5,302.3
1976,District of Columbia,0.683,330.4,395.4
1977,District of Columbia,0.672,344.5,388.5
1978,District of Columbia,0.66,335.0,389.9
1979,District of Columbia,0.649,369.4,470.8
1980,District of Columbia,0.638,393.6,505.8
1981,District of Columbia,0.635,369.8,530.6
1982,District of Columbia,0.632,404.7,715.6
1983,District of Columbia,0.629,441.5,600.1
1984,District of Columbia,0.626,476.7,621.9
1985,District of Columbia,0.622,488.6,717.3
1986,District of Columbia,0.619,517.4,763.6
1987,District of Columbia,0.616,583.9,828.1
1988,District of Columbia,0.613,620.4,885.4
1989,District of Columbia,0.61,662.1,920.6
1990,District of Columbia,0.607,693.4,995.9
1991,District of Columbia,0.603,743.1,1054.9
1992,District of Columbia,0.6,764.7,717.0
1993,District of Columbia,0.596,740.9,817.6
1994,District of Columbia,0.593,763.5,806.2
1995,District of Columbia,0.589,727.3,771.4
1996,District of Columbia,0.586,689.4,665.0
1997,District of Columbia,0.582,694.8,582.3
1998,District of Columbia,0.579,776.7,534.6
1999,District of Columbia,0.575,800.1,530.8
2000,District of Columbia,0.572,994.5,540.0
2001,District of Columbia,0.578,1097.9,666.2
2002,District of Columbia,0.58,1201.4,792.4
2003,District of Columbia,0.578,1282.8,863.7
2004,District of Columbia,0.58,1364.3,935.0
2005,District of Columbia,0.582,1524.2,1082.0
2006,District of Columbia,0.584,1538.7,1237.5
2007,District of Columbia,0.586,1591.6,1463.3
2008,District of Columbia,0.59,2286.9,1593.0
2009,District of Columbia,0.6,2288.6,1535.5
2010,District of Columbia,0.605,2486.3,1905.2
2011,District of Columbia,0.62,2420.0,1835.7
2012,District of Columbia,0.636,2437.2,1404.7
2013,District of Columbia,0.652,2586.0,1464.3
2014,District of Columbia,0.664,2646.5,1552.9
2015,District of Columbia,0.677,2796.3,1642.0
2016,District of Columbia,0.688,2841.0,1706.4
2017,District of Columbia,0.697,2999.9,1833.5
2018,District of Columbia,0.704,3170.4,2938.6
2019,District of Columbia,0.708,3322.7,3244.5
2020,District of Columbia,0.713,3457.9,3509.9
2021,District of Columbia,0.717,3596.1,3758.7
2022,District of Columbia,0.722,3751.0,3995.3
2023,District of Columbia,0.727,3925.3,4217.2
2024,District of Columbia,0.731,4117.4,4421.3
2025,District of Columbia,0.736,4323.6,4606.2
2026,District of Columbia,0.741,4539.5,4772.8
1970,Florida,6.791,1554.5,118.9
1971,Florida,7.041,1773.5,189.4
1972,Florida,7.3,2099.4,231.8
1973,Florida,7.569,1910.1,222.0
1974,Florida,7.847,2393.0,216.9
1975,Florida,8.136,3055.1,406.4
1976,Florida,8.435,3163.3,729.2
1977,Florida,8.745,3407.6,875.6
1978,Florida,9.067,3806.6,778.7
1979,Florida,9.401,4028.4,898.8
1980,Florida,9.746,4544.1,1113.4
1981,Florida,10.026,5208.1,1383.4
1982,Florida,10.314,5705.6,1691.8
1983,Florida,10.611,6137.2,1866.1
1984,Florida,10.916,6878.5,1889.7
1985,Florida,11.229,7729.7,2225.8
1986,Florida,11.552,8337.7,2433.3
1987,Florida,11.884,9163.5,2691.5
1988,Florida,12.225,10122.6,3037.1
1989,Florida,12.577,11709.5,3714.1
1990,Florida,12.938,13574.9,4611.2
1991,Florida,13.214,15002.3,5960.0
1992,Florida,13.497,14931.1,3670.0
1993,Florida,13.785,15109.7,4052.7
1994,Florida,14.079,15216.4,3207.6
1995,Florida,14.38,17697.4,4125.3
1996,Florida,14.687,18282.9,3996.2
1997,Florida,15.001,19025.8,4126.4
1998,Florida,15.321,19966.5,3670.7
1999,Florida,15.648,21638.8,3733.5
2000,Florida,16.047,23142.8,3518.3
2001,Florida,16.354,24783.4,5620.0
2002,Florida,16.68,26186.1,5128.2
2003,Florida,16.981,28213.8,6606.7
2004,Florida,17.375,29889.4,5674.2
2005,Florida,17.784,32605.5,8162.1
2006,Florida,18.089,35947.7,7990.6
2007,Florida,18.278,40076.5,7094.0
2008,Florida,18.424,41984.9,7494.3
2009,Florida,18.538,40111.5,8793.6
2010,Florida,18.846,39007.9,12961.9
2011,Florida,19.056,39329.0,12257.5
2012,Florida,19.302,38018.0,9569.3
2013,Florida,19.552,38048.6,8634.7
2014,Florida,19.854,38925.3,8428.2
2015,Florida,20.219,40270.8,6452.1
2016,Florida,20.627,42068.5,6075.8
2017,Florida,20.977,43360.2,6090.1
2018,Florida,21.255,45408.2,6461.8
2019,Florida,21.492,46675.0,5716.2
2020,Florida,21.733,47771.6,5413.5
2021,Florida,21.977,48968.2,5191.4
2022,Florida,22.224,50495.1,5102.4
2023,Florida,22.474,52425.7,5172.7
2024,Florida,22.726,54759.7,5406.8
2025,Florida,22.981,57454.0,5792.0
2026,Florida,23.239,60440.2,6301.2
1970,Georgia,4.588,1043.8,124.3
1971,Georgia,4.669,1143.4,185.8
1972,Georgia,4.751,1209.8,271.0
1973,Georgia,4.835,1272.5,250.8
1974,Georgia,4.92,1419.9,220.8
1975,Georgia,5.006,1637.6,349.1
1976,Georgia,5.095,1763.0,546.1
1977,Georgia,5.184,1932.3,777.5
1978,Georgia,5.276,1990.9,765.8
1979,Georgia,5.369,2403.9,817.7
1980,Georgia,5.463,2625.3,976.9
1981,Georgia,5.557,2923.9,1318.4
1982,Georgia,5.653,3114.1,1418.8
1983,Georgia,5.75,3344.3,1596.7
1984,Georgia,5.849,3599.7,1511.6
1985,Georgia,5.949,4089.5,1462.8
1986,Georgia,6.051,4677.6,1636.1
1987,Georgia,6.155,5260.8,1968.9
1988,Georgia,6.261,5819.8,2152.6
1989,Georgia,6.369,6312.7,2425.3
1990,Georgia,6.478,7046.3,2746.6
1991,Georgia,6.632,7268.6,3483.1
1992,Georgia,6.789,7352.9,1954.7
1993,Georgia,6.949,8066.6,2038.0
1994,Georgia,7.114,8940.8,1885.3
1995,Georgia,7.282,10146.3,2139.5
1996,Georgia,7.455,11229.0,2072.7
1997,Georgia,7.631,11716.0,2295.2
1998,Georgia,7.812,12390.4,2061.2
1999,Georgia,7.997,13929.8,2119.2
