homeownership_rate,state,year
63.7,Alaska,2012
64.6,Alaska,2013
64.9,Alaska,2014
62.3,Alaska,2015
65.2,Alaska,2016
65.5,Alaska,2017
63.7,Alaska,2018
62.6,Alaska,2019
64.1,Alaska,2020
63.6,Georgia,1984
62.7,Georgia,1985
62.4,Georgia,1986
63.9,Georgia,1987
64.8,Georgia,1988
64.7,Georgia,1989
64.3,Georgia,1990
65.7,Georgia,1991
66.9,Georgia,1992
66.5,Georgia,1993
63.4,Georgia,1994
66.6,Georgia,1995
69.3,Georgia,1996
70.9,Georgia,1997
71.2,Georgia,1998
71.3,Georgia,1999
69.8,Georgia,2000
70.1,Georgia,2001
71.8,Georgia,2002
71.4,Georgia,2003
70.9,Georgia,2004
67.9,Georgia,2005
68.5,Georgia,2006
67.6,Georgia,2007
68.2,Georgia,2008
67.4,Georgia,2009
67.1,Georgia,2010
66.2,Georgia,2011
64.3,Georgia,2012
64.2,Georgia,2013
62.9,Georgia,2014
62.9,Georgia,2015
62.3,Georgia,2016
62.8,Georgia,2017
63.8,Georgia,2018
64.4,Georgia,2019
67.3,Georgia,2020
70.2,Kentucky,1984
68.5,Kentucky,1985
68.1,Kentucky,1986
67.6,Kentucky,1987
65.4,Kentucky,1988
64.9,Kentucky,1989
65.8,Kentucky,1990
67.2,Kentucky,1991
69,Kentucky,1992
68.76,Kentucky,1993
70.6,Kentucky,1994
71.2,Kentucky,1995
73.2,Kentucky,1996
75,Kentucky,1997
75.1,Kentucky,1998
73.9,Kentucky,1999
73.4,Kentucky,2000
73.9,Kentucky,2001
73.7,Kentucky,2002
74.4,Kentucky,2003
73.3,Kentucky,2004
71.6,Kentucky,2005
71.7,Kentucky,2006
72.9,Kentucky,2007
72.8,Kentucky,2008
71.2,Kentucky,2009
70.3,Kentucky,2010
69.1,Kentucky,2011
68.7,Kentucky,2012
67.5,Kentucky,2013
67.6,Kentucky,2014
67.9,Kentucky,2015
67.9,Kentucky,2016
70.1,Kentucky,2017
69.8,Kentucky,2018
69.5,Kentucky,2019
72.5,Kentucky,2020
68.8,Wyoming,1984
73.2,Wyoming,1985
72,Wyoming,1986
68.9,Wyoming,1987
67.8,Wyoming,1988
69.6,Wyoming,1989
68.9,Wyoming,1990
68.7,Wyoming,1991
67.9,Wyoming,1992
67.1,Wyoming,1993
65.8,Wyoming,1994
69,Wyoming,1995
68,Wyoming,1996
67.6,Wyoming,1997
70,Wyoming,1998
69.8,Wyoming,1999
71,Wyoming,2000
73.5,Wyoming,2001
73,Wyoming,2002
72.9,Wyoming,2003
72.8,Wyoming,2004
72.8,Wyoming,2005
73.7,Wyoming,2006
73.2,Wyoming,2007
73.3,Wyoming,2008
73.8,Wyoming,2009
73.4,Wyoming,2010
71.1,Wyoming,2011
70.3,Wyoming,2012
70.5,Wyoming,2013
70.8,Wyoming,2014
69.9,Wyoming,2015
70.2,Wyoming,2016
70.4,Wyoming,2017
71.1,Wyoming,2018
71.3,Wyoming,2019
73.9,Wyoming,2020
69.3,Nebraska,1984
68.5,Nebraska,1985
68.3,Nebraska,1986
66.8,Nebraska,1987
66.6,Nebraska,1988
67.2,Nebraska,1989
67.3,Nebraska,1990
67.5,Nebraska,1991
68.4,Nebraska,1992
67.7,Nebraska,1993
68,Nebraska,1994
67.1,Nebraska,1995
66.8,Nebraska,1996
66.7,Nebraska,1997
69.9,Nebraska,1998
70.9,Nebraska,1999
70.2,Nebraska,2000
70.1,Nebraska,2001
68.5,Nebraska,2002
69.5,Nebraska,2003
71.2,Nebraska,2004
70.2,Nebraska,2005
67.6,Nebraska,2006
68.2,Nebraska,2007
69.6,Nebraska,2008
70.2,Nebraska,2009
70.4,Nebraska,2010
68.9,Nebraska,2011
69.3,Nebraska,2012
68.2,Nebraska,2013
66.7,Nebraska,2014
68.1,Nebraska,2015
68,Nebraska,2016
66.1,Nebraska,2017
66.4,Nebraska,2018
68.2,Nebraska,2019
69.8,Nebraska,2020
69.6,South Dakota,1984
67.6,South Dakota,1985
65.9,South Dakota,1986
66.8,South Dakota,1987
66.4,South Dakota,1988
65.8,South Dakota,1989
66.2,South Dakota,1990
66.1,South Dakota,1991
66.5,South Dakota,1992
65.6,South Dakota,1993
66.4,South Dakota,1994
67.5,South Dakota,1995
67.8,South Dakota,1996
67.6,South Dakota,1997
67.3,South Dakota,1998
70.7,South Dakota,1999
71.2,South Dakota,2000
71.5,South Dakota,2001
71.5,South Dakota,2002
70.9,South Dakota,2003
68.5,South Dakota,2004
68.4,South Dakota,2005
70.6,South Dakota,2006
70.4,South Dakota,2007
70.4,South Dakota,2008
69.6,South Dakota,2009
70.6,South Dakota,2010
69.3,South Dakota,2011
69.2,South Dakota,2012
67.8,South Dakota,2013
69.2,South Dakota,2014
70.1,South Dakota,2015
69.4,South Dakota,2016
67.8,South Dakota,2017
69.1,South Dakota,2018
69.5,South Dakota,2019
71.4,South Dakota,2020
67.8,Maryland,1984
65.6,Maryland,1985
62.8,Maryland,1986
62.7,Maryland,1987
63.5,Maryland,1988
65.5,Maryland,1989
64.9,Maryland,1990
63.8,Maryland,1991
64.8,Maryland,1992
65.5,Maryland,1993
64.1,Maryland,1994
65.8,Maryland,1995
66.9,Maryland,1996
70.5,Maryland,1997
68.7,Maryland,1998
69.6,Maryland,1999
69.9,Maryland,2000
70.7,Maryland,2001
72,Maryland,2002
71.6,Maryland,2003
72.1,Maryland,2004
71.2,Maryland,2005
72.6,Maryland,2006
71.7,Maryland,2007
70.6,Maryland,2008
69.6,Maryland,2009
68.9,Maryland,2010
69.7,Maryland,2011
68.5,Maryland,2012
66.9,Maryland,2013
66.2,Maryland,2014
67.1,Maryland,2015
66.5,Maryland,2016
66.9,Maryland,2017
66.6,Maryland,2018
68.8,Maryland,2019
72,Maryland,2020
68,New Mexico,1984
68.2,New Mexico,1985
67.8,New Mexico,1986
67.2,New Mexico,1987
65.4,New Mexico,1988
65.5,New Mexico,1989
68.6,New Mexico,1990
69.5,New Mexico,1991
70.5,New Mexico,1992
69.1,New Mexico,1993
66.8,New Mexico,1994
67,New Mexico,1995
67.1,New Mexico,1996
69.6,New Mexico,1997
71.3,New Mexico,1998
72.6,New Mexico,1999
73.7,New Mexico,2000
70.8,New Mexico,2001
70,New Mexico,2002
70.3,New Mexico,2003
71.5,New Mexico,2004
71.4,New Mexico,2005
72,New Mexico,2006
71.5,New Mexico,2007
70.4,New Mexico,2008
69.1,New Mexico,2009
68.6,New Mexico,2010
69.1,New Mexico,2011
66.8,New Mexico,2012
67.3,New Mexico,2013
66.3,New Mexico,2014
66.5,New Mexico,2015
67.4,New Mexico,2016
66.6,New Mexico,2017
68,New Mexico,2018
67.4,New Mexico,2019
70.3,New Mexico,2020
58.9,Nevada,1984
57,Nevada,1985
54.5,Nevada,1986
54.1,Nevada,1987
54.3,Nevada,1988
54.3,Nevada,1989
55.8,Nevada,1990
55.8,Nevada,1991
55.1,Nevada,1992
55.8,Nevada,1993
55.8,Nevada,1994
58.6,Nevada,1995
61.1,Nevada,1996
61.2,Nevada,1997
61.4,Nevada,1998
63.7,Nevada,1999
64,Nevada,2000
64.6,Nevada,2001
65.3,Nevada,2002
64.8,Nevada,2003
65.7,Nevada,2004
63.4,Nevada,2005
65.7,Nevada,2006
63.3,Nevada,2007
63.6,Nevada,2008
62.4,Nevada,2009
59.7,Nevada,2010
56.2,Nevada,2011
55.7,Nevada,2012
56,Nevada,2013
56,Nevada,2014
54.8,Nevada,2015
54.5,Nevada,2016
55,Nevada,2017
57.8,Nevada,2018
58.2,Nevada,2019
61.2,Nevada,2020
71,Oklahoma,1984
70.5,Oklahoma,1985
69.7,Oklahoma,1986
70.9,Oklahoma,1987
72.1,Oklahoma,1988
71.4,Oklahoma,1989
70.3,Oklahoma,1990
69.2,Oklahoma,1991
68.9,Oklahoma,1992
70.3,Oklahoma,1993
68.5,Oklahoma,1994
69.8,Oklahoma,1995
68.4,Oklahoma,1996
68.5,Oklahoma,1997
69.7,Oklahoma,1998
